Category,Sub_Category,Revenue,Profit,Average_Discount,Maximum_Discount,Orders,Profit_Margin
Office Supplies,Binders,203412.733,30221.7633,0.3722915298752462,0.8,1316,0.1485736062550224
Technology,Machines,189238.631,3384.7569,0.3060869565217391,0.7,112,0.01788618360909618
Furniture,Tables,206965.532,-17725.4811,0.2612852664576803,0.5,307,-0.08564460433923848
Furniture,Bookcases,114879.9963,-3472.556,0.211140350877193,0.7,224,-0.030227682032054524
Furniture,Chairs,328449.103,26590.1663,0.17017828200972449,0.3,576,0.08095673289142763
Office Supplies,Appliances,107532.16100000001,18138.005400000002,0.1665236051502146,0.8,451,0.16867516872463859
Technology,Copiers,149528.03,55617.8249,0.16176470588235295,0.4,68,0.3719558460042575
Technology,Phones,330007.054,44515.7306,0.15455568053993252,0.4,814,0.1348932698874976
Furniture,Furnishings,91705.164,13059.1436,0.13834900731452457,0.6,877,0.14240357936658832
Office Supplies,Fasteners,3024.28,949.5182,0.08202764976958525,0.2,215,0.3139650429193064
Office Supplies,Envelopes,16476.402,6964.1767,0.08031496062992127,0.2,249,0.42267581842200747
Technology,Accessories,167380.318,41936.6357,0.07845161290322582,0.2,718,0.2505469950176579
Office Supplies,Supplies,46673.538,-1189.0995,0.0768421052631579,0.2,187,-0.025476952272184723
Office Supplies,Paper,78479.206,34053.5693,0.07489051094890511,0.2,1191,0.43391837195702515
Office Supplies,Art,27118.792,6527.787,0.07487437185929649,0.2,731,0.24071083254740847
Office Supplies,Storage,223843.608,21278.8264,0.07470449172576832,0.2,777,0.09506113035847778
Office Supplies,Labels,12486.312,5546.254,0.06868131868131869,0.2,346,0.4441867222283089
