Month,Revenue,Profit,Quantity,Orders,Customers,Average_Discount,Profit_Margin,AOV,Year,Quarter,Month_Name
2014-01-01,14236.895,2450.1907,284,32,32,0.12658227848101267,0.1721014799926529,444.90296875,2014,Q1,Jan
2014-02-01,4519.892,862.3084,159,28,27,0.1760869565217391,0.19078075316843854,161.4247142857143,2014,Q1,Feb
2014-03-01,55691.009,498.7299,585,71,69,0.167515923566879,0.008955303718774425,784.3804084507042,2014,Q1,Mar
2014-04-01,28295.345,3488.8352,536,66,64,0.11,0.12330067719619604,428.7173484848485,2014,Q2,Apr
2014-05-01,23648.287,2738.7096,466,69,67,0.155327868852459,0.1158100626907987,342.7287971014493,2014,Q2,May
2014-06-01,34595.1276,4976.5244,521,66,63,0.172,0.1438504421067665,524.1686,2014,Q2,Jun
2014-07-01,33946.393,-841.4826000000002,550,65,65,0.17167832167832167,-0.02478857179317992,522.2521999999999,2014,Q3,Jul
2014-08-01,27909.4685,5318.105,609,72,70,0.13104575163398693,0.19054841549562293,387.6315069444444,2014,Q3,Aug
2014-09-01,81777.3508,8328.0994,1000,130,118,0.1599626865671642,0.1018387037306667,629.0565446153846,2014,Q3,Sep
2014-10-01,31453.393,3448.2573,573,78,75,0.160062893081761,0.10963069389683969,403.2486282051282,2014,Q4,Oct
2014-11-01,78628.7167,9292.1269,1219,151,139,0.15116352201257863,0.11817726766994277,520.7199781456954,2014,Q4,Nov
2014-12-01,69545.6205,8983.5699,1079,141,134,0.19082733812949643,0.12917520665445784,493.23135106382983,2014,Q4,Dec
2015-01-01,18174.0756,-3281.007,236,29,28,0.17793103448275863,-0.18053226322003416,626.6922620689655,2015,Q1,Jan
2015-02-01,11951.411,2813.8508,239,36,36,0.1296875,0.2354408864359196,331.9836388888889,2015,Q1,Feb
2015-03-01,38726.252,9732.0978,515,79,77,0.1401449275362319,0.25130492359549794,490.20572151898733,2015,Q1,Mar
2015-04-01,34195.2085,4187.4962,543,72,69,0.17593750000000002,0.12245856608828688,474.9334513888889,2015,Q2,Apr
2015-05-01,30131.6865,4667.869,575,74,69,0.1660958904109589,0.15491562345838158,407.1849527027027,2015,Q2,May
2015-06-01,24797.292,3335.5572,486,68,68,0.17246376811594202,0.13451296214118863,364.66605882352945,2015,Q2,Jun
2015-07-01,28765.325,3288.6483,557,66,64,0.17035714285714287,0.11432682578764536,435.8382575757576,2015,Q3,Jul
2015-08-01,36898.3322,5355.8084,598,68,64,0.15641509433962264,0.14515041956286578,542.6225323529411,2015,Q3,Aug
2015-09-01,64595.918,8209.1627,1086,140,126,0.14095563139931738,0.12708485232766567,461.3994142857143,2015,Q3,Sep
2015-10-01,31404.9235,2817.366,631,87,79,0.16234939759036143,0.08971096522492723,360.9761321839081,2015,Q4,Oct
2015-11-01,75972.5635,12474.7884,1310,158,146,0.16231481481481483,0.1642012303560087,480.8390094936709,2015,Q4,Nov
2015-12-01,74919.5212,8016.9659,1203,161,141,0.13724683544303798,0.10700770335408924,465.33864099378883,2015,Q4,Dec
2016-01-01,18542.490999999998,2824.8233,358,48,46,0.13258426966292136,0.15234324773300417,386.3018958333333,2016,Q1,Jan
2016-02-01,22978.815,5004.5795,306,45,42,0.0963855421686747,0.21779101750895336,510.64033333333333,2016,Q1,Feb
2016-03-01,51715.875,3611.9680000000003,579,86,80,0.190920245398773,0.06984253867888729,601.3473837209302,2016,Q1,Mar
2016-04-01,38750.039000000004,2977.8149,635,89,83,0.15588235294117647,0.07684675878648792,435.39369662921354,2016,Q2,Apr
2016-05-01,56987.728,8662.1464,863,108,96,0.18444444444444444,0.15200020607945625,527.6641481481482,2016,Q2,May
2016-06-01,40344.534,4750.3781,742,97,90,0.13869346733668342,0.11774527126772613,415.92303092783504,2016,Q2,Jun
2016-07-01,39261.963,4432.8778999999995,758,96,89,0.15945273631840795,0.11290515199150891,408.97878125000005,2016,Q3,Jul
2016-08-01,31115.3743,2062.0693,693,90,86,0.185625,0.06627171764409726,345.7263811111111,2016,Q3,Aug
2016-09-01,73410.0249,9328.6576,1316,192,176,0.14942148760330579,0.1270760718676721,382.3438796875,2016,Q3,Sep
2016-10-01,59687.745,16243.142500000002,767,105,95,0.14719387755102042,0.27213530181111717,568.4547142857143,2016,Q4,Oct
2016-11-01,79411.9658,4011.4075,1406,183,165,0.15762162162162163,0.05051389245422759,433.94516830601094,2016,Q4,Nov
2016-12-01,96999.043,17885.3093,1414,176,157,0.13542613636363637,0.18438645111168778,551.1309261363637,2016,Q4,Dec
2017-01-01,43971.374,7140.4391,597,69,67,0.16129032258064516,0.16238835520582093,637.2662898550725,2017,Q1,Jan
2017-02-01,20301.1334,1613.8719999999998,363,53,53,0.1819626168224299,0.07949664524641761,383.04025283018865,2017,Q1,Feb
2017-03-01,58872.3528,14751.891500000002,885,118,115,0.13084033613445378,0.2505741795323662,498.9182440677966,2017,Q1,Mar
2017-04-01,36521.5361,933.2899999999998,733,116,109,0.1944334975369458,0.025554511109405386,314.84082844827583,2017,Q2,Apr
2017-05-01,44261.1102,6342.5828,887,118,113,0.15243801652892564,0.14329922524175637,375.09415423728814,2017,Q2,May
2017-06-01,52981.7257,8223.3357,931,133,118,0.1719183673469388,0.15521079374732408,398.3588398496241,2017,Q2,Jun
2017-07-01,45264.416,6952.6212,840,111,102,0.14004424778761063,0.15360015249064518,407.7875315315315,2017,Q3,Jul
2017-08-01,63120.888,9040.9557,884,111,104,0.14357798165137614,0.14323239083708708,568.6566486486487,2017,Q3,Aug
2017-09-01,87866.652,10991.5556,1660,226,196,0.14738562091503268,0.12509359751182964,388.79049557522126,2017,Q3,Sep
2017-10-01,77776.9232,9275.2755,1133,147,136,0.1742281879194631,0.11925485244703019,529.0947156462586,2017,Q4,Oct
2017-11-01,118447.825,9690.1037,1840,261,216,0.16098039215686274,0.08180904714797423,453.82308429118774,2017,Q4,Nov
2017-12-01,83829.3188,8483.346800000001,1723,224,195,0.1465800865800866,0.10119784964780129,374.2380303571428,2017,Q4,Dec
