Region,Category,Sub_Category,Revenue,Profit,Quantity,Orders,Average_Discount,Profit_Margin,AOV
West,Furniture,Chairs,101781.328,4027.5843,734,191,0.20000000000000004,0.039570954507490805,532.8865340314136
East,Technology,Phones,100614.982,12314.686,982,247,0.16029411764705884,0.12239415795949751,407.3481052631579
West,Technology,Phones,98684.352,9110.7426,1068,256,0.2,0.09232205932709575,385.48575
East,Furniture,Chairs,96260.683,9357.7706,676,157,0.1505952380952381,0.09721280078596574,613.1253694267516
Central,Furniture,Chairs,85230.64600000001,6592.7221,615,144,0.19285714285714287,0.07735154441983226,591.8794861111112
West,Furniture,Tables,84754.562,1482.6073000000001,481,114,0.19999999999999998,0.01749294981903157,743.4610701754386
Central,Technology,Phones,72403.282,12323.0267,713,184,0.12200000000000001,0.17019983569253117,393.496097826087
East,Office Supplies,Storage,71612.584,8389.3712,907,223,0.07107438016528925,0.11714939932903412,321.13266367713004
West,Office Supplies,Storage,70532.852,8645.3222,1039,247,0.030827067669172935,0.12257156707628951,285.55810526315787
East,Technology,Machines,66106.16500000001,6928.642900000001,165,36,0.28378378378378377,0.10481084328519133,1836.2823611111114
West,Technology,Accessories,61114.116,16484.5983,1032,236,0.03643410852713178,0.2697347090809593,258.9581186440678
South,Technology,Phones,58304.438,10767.2753,526,127,0.1,0.1846733399608448,459.090062992126
Central,Office Supplies,Binders,56923.282,-1043.6369000000004,1473,318,0.5092896174863388,-0.01833409570446062,179.00403144654086
West,Office Supplies,Binders,55961.113,16096.8016,1868,403,0.28174097664543524,0.287642627836941,138.86132258064515
South,Technology,Machines,53890.96,-1438.8930000000005,62,17,0.3333333333333333,-0.02670008105255502,3170.0564705882352
East,Office Supplies,Binders,53497.996999999996,11267.9346,1652,384,0.3534090909090909,0.21062348558582486,139.3177005208333
East,Technology,Copiers,53219.462,17022.841800000002,71,20,0.25,0.31986121543280543,2660.9731
West,Technology,Copiers,49749.242,19327.2351,88,25,0.14400000000000002,0.3884930568389364,1989.96968
Central,Office Supplies,Storage,45930.112,1969.8365,724,190,0.12380952380952381,0.042887692065719324,241.73743157894737
South,Furniture,Chairs,45176.446,6612.0893,331,84,0.09772727272727272,0.14636143135296653,537.8148333333334
East,Technology,Accessories,45033.371999999996,11195.8644,724,191,0.08543689320388351,0.2486126155509741,235.77681675392668
South,Furniture,Tables,43916.192,-4623.0579,227,49,0.22254901960784312,-0.10527000838324051,896.2488163265307
East,Furniture,Bookcases,43819.334,-1167.6318,252,68,0.22,-0.026646498096023093,644.4019705882354
West,Technology,Machines,42444.122,-618.9264,147,39,0.3025641025641026,-0.014582146380598942,1088.3108205128206
Central,Furniture,Tables,39154.971,-3559.6504,262,68,0.26249999999999996,-0.09091183849938236,575.8083970588235
East,Furniture,Tables,39139.807,-11025.3801,271,76,0.37375,-0.28169224493110046,514.9974605263158
Central,Technology,Copiers,37259.57,15608.8413,49,16,0.1125,0.4189216703252346,2328.723125
South,Office Supplies,Binders,37030.341,3900.664,981,211,0.3756097560975609,0.10533697218721265,175.49924644549762
West,Furniture,Bookcases,36004.1235,-1646.5117,306,79,0.22875,-0.04573119798347542,455.7483987341772
South,Office Supplies,Storage,35768.06,2274.2965,488,117,0.0921875,0.06358456399368599,305.7099145299145
East,Office Supplies,Appliances,34188.466,8391.4134,474,119,0.07301587301587302,0.24544574184755757,287.2980336134454
Central,Technology,Accessories,33956.076,7251.6306,716,172,0.12459016393442623,0.21355914623350472,197.41904651162793
West,Office Supplies,Appliances,30236.336,8261.2699,492,134,0.030882352941176472,0.273223247023052,225.64429850746268
West,Furniture,Furnishings,30072.73,7641.2704,1175,281,0.03289473684210526,0.25409300718624483,107.02039145907473
East,Furniture,Furnishings,29071.38,5881.4071,1015,256,0.07773851590106007,0.20230918174507023,113.560078125
South,Technology,Accessories,27276.754,7004.5424,504,119,0.0859375,0.2567953063623333,229.21642016806723
Central,Technology,Machines,26797.384000000002,-1486.0666,66,20,0.32857142857142857,-0.05545565940317159,1339.8692
West,Office Supplies,Paper,26663.718,12119.2364,1702,384,0.03155555555555556,0.45452162372854377,69.436765625
Central,Furniture,Bookcases,24157.1768,-1997.9043,192,49,0.2328,-0.08270437876664462,493.0036081632653
Central,Office Supplies,Appliances,23582.033,-2638.6175000000003,470,119,0.44878048780487806,-0.11189101041458131,198.16834453781513
East,Office Supplies,Paper,20172.602,9015.371,1400,332,0.06455026455026455,0.44691165770285857,60.760849397590356
South,Office Supplies,Appliances,19525.326,4123.9396,293,79,0.1111111111111111,0.21120976930167515,247.1560253164557
West,Office Supplies,Supplies,18127.122,626.0464999999999,238,68,0.03768115942028986,0.03453645316669684,266.5753235294118
Central,Office Supplies,Paper,17491.902,6971.9005,1225,282,0.12897196261682245,0.3985787537570243,62.02802127659574
South,Furniture,Furnishings,17306.684,3442.6829000000002,615,149,0.10666666666666667,0.19892215631833343,116.15224161073826
Central,Furniture,Furnishings,15254.37,-3906.2168,758,191,0.4039024390243902,-0.25607198461817826,79.8658115183246
South,Office Supplies,Paper,14150.984,5947.0614000000005,851,193,0.10226244343891404,0.42025779974028665,73.32116062176166
South,Furniture,Bookcases,10899.362,1339.4918,118,28,0.1,0.12289634934595256,389.2629285714285
East,Office Supplies,Supplies,10760.116,-1155.1352000000002,195,55,0.06785714285714287,-0.10735341514905603,195.63847272727273
Central,Office Supplies,Supplies,9467.372000000001,-661.8881,122,35,0.14444444444444446,-0.06991254806508078,270.4963428571429
South,Technology,Copiers,9299.756,3658.9067,26,7,0.08571428571428573,0.39344115049900236,1328.5365714285713
West,Office Supplies,Art,9212.065999999999,2374.097,926,227,0.031200000000000002,0.25771602157431356,40.5817885462555
South,Office Supplies,Supplies,8318.928,1.8772999999999893,92,29,0.10344827586206896,0.00022566609543921877,286.85958620689655
East,Office Supplies,Art,7485.764,1899.9443,849,209,0.0692982456140351,0.2538076674605291,35.817052631578946
