ds,yhat,yhat_lower,yhat_upper
2018-01-31,53334.107122208436,44138.565603082185,61408.59566593943
2018-02-28,72434.01623296854,63698.69466893385,81565.73710981227
2018-03-31,63522.709658526015,54855.601021317496,72475.01397618739
2018-04-30,33971.789457873005,24833.394815302316,42927.06611169648
2018-05-31,52957.200307496154,44260.910687604905,62517.99190921342
2018-06-30,64014.27954182384,55151.443710016836,72686.46001924814
2018-07-31,80092.928976505,72003.88480134837,88850.0589024262
2018-08-31,111893.21780907188,103201.15107113111,120547.6452428939
2018-09-30,44199.81192455019,35848.782239199245,52714.635431310875
2018-10-31,119588.03064495351,111554.73434555624,128317.86266841553
2018-11-30,98169.58350029425,89209.23837533483,107489.69499072865
2018-12-31,38885.454378234776,30151.956774027374,47920.085875890596
